Volume,Issue,Date published,Editor,Credits ,Total pages,Price,Published by,Printed by 
1,1,1972,J Forster,"Murray Marr, Jay Frances, H Milton, Barbara Murray, M Gallivan, J Green, B Todd",16,20p,Sappho Publications,"Marylands Printing Services, Hemel Hempstead, Herts. "
1,2,1972,J Forster ,"Jay-Frances, Murrary Marr, H Milton, J Gibson, Barbara Murray, M Gallivan, Jenny Potter, J Green, B Todd",16,20p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,3,1972,J Forster,"Jay Frances, Murrary Marr, Barbara Murray, H Milton, J Gibson, J Green, B Todd, Jenny Potter",20,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,4,1972,Jacqueline Forster,"Jay Frances, Murrary Marr, J Gibson, H Milton, Barbara Murray, J Green, Babs Todd, Jenny Potter",20,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,5,1972,Jacqueline Forster,"Jay Frances, Murrary Marr, Barbara Murray, J Gibson, H Milton, J Green, Babs Todd, Jenny Potter",20,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,6,1972,"M Matthew, Jacqueline Forster","Jay Frances, Murrary Marr, J Gibson, H Milton, Barbara Murray, J Green, Babs Todd, Jenny Potter",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,7,1972,Jacqueline Forster,"Murray Marr, Barbara Murray, J Gibson, H Milton, J Green, Babs Todd, Jenny Potter",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,8,1972,Jacqueline Forster,"Murray Marr, Barbara Murray, J Green, Babs Todd, Jenny Potter, D Wright",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,9,01/12/1973,Jacqueline Forster,"Murray Marr, Barbara Murray, J Green, Babs Todd, Jenny Potter, D Wright",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,10,Jan-73,Jacqueline Forster,"Murray Marr, Barbara Murray, J Green, Babs Todd, Jenny Potter, D Wright, Jay Francis, I Clarke",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,11,Feb-73,Jacqueline Forster,"Murray Marr, Barbara Murray, J Green, Babs Todd, Jenny Potter, D Wright, Jay Francis, I Clarke",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."
1,12,Mar-73,Jacqueline Forster,"Murray Marr, Barbara Murray, J Green, Babs Todd, Jenny Potter, D Wright, Jay Francis, I Clarke",24,25p ,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts."