"All data recorded by E. Newton, December 2024. ",,,,,,,,,,,,,,
,,Issue,Page no.,Scan Quality,Contents Title,Author,Form ,Page layout,Illustrated,What illustration,Advertisment, Interactive ,What interactive ,Event 
,,1,1,Good,N/A,N/A,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,"Contents, Credits",Columns,Y,Photograph,N,N,N/A,N
,,,3,Ok,About Sappho,N/A,Sappho,Columns,N,N/A,N,N,N/A,N
,,,4,Ok,Homage to Homophiles,N/A,Sappho,Letters diagram,Y,Letters,N,N,N/A,N
,,,5,Ok,Holy Matrimony!,Elsa Beckett,Fiction,Columns ,Y,Border,N,N,N/A,N
,,,6,Ok,N/A,Elsa Beckett,Fiction,Columns,Y,Cheque Graphic,Y-Sappho promotion graphics,N,N/A,N
,,,7,Ok,Person or Pattern?,jax,Anecdote,Columns,Y,Mabel and Mildred,N,N,N/A,N
,,,8,Poor,Harriette Frances Poems,Harriette Frances,Poetry,Columns,Y,Border,N,N,N/A,N
,,,9,Ok,N/A,Harriette Frances,Poetry,Columns,Y,Border,N,N,N/A,N
,,,10,Good,Competition,Anonymous subscriber,Competition,Paragraph,Y,Photograph,N,Y,Competition,Competition
,,,11,Good,R. A. P.,Sappho,Essay,Columns,Y,Border,N,N,N/A,N
,,,12,Good,N/A,Sappho,Essay ,Columns,Y,Mabel and Mildred,N,N,N/A,N
,,,13,Good,Quiz/ Everybody's Talking,Robyn,"Quiz, Quotes","Columns, Divided",Y,Question mark graphics,N,Y,Quiz,N
,,,14,Good,N/A,N/A,Sappho,"Paragragh, Divided",Y,Advert,"Y- Donors, Fake ad.",Y,Subscription,N
,,,15,Good,Sapphoscope,N/A,"Sapphoscope, Sappho","Columns, Divided",N,N/A,"Y- Meetings, Women's Liberation Workshop ",Y,Sapphoscope,Meetings for Sappho and advertised group organisations.
,,,16,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,2,1,Poor ,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,"Contents, Credits",Columns ,Y,Photograph,N,N,N/A,N
,,,3,Good,Catastrophe,N/A,Interview,Columns ,Y,Graphic,N,N,N/A,N
,,,4,Ok,Sapphisticate Adieu ,N/A,Obituary,Columns,Y,Photograph,N,N,N/A,N
,,,5,Ok,Sapphrogettes,Sappho,Report ,Columns,N,N/A,N,N,N/A,N
,,,6,Good, N/A,Sappho,Report,"Colmuns, Divided",N,N/A,N,N,N/A,N
,,,7,Ok,N/A,Sappho,Report,Columns ,Y,Writing ,N,N,N/A,N
,,,8,Ok,Maureen Duffy Poems,Maureen Duffy ,Poetry,Columns,Y,Border ,N,N,N/A,N
,,,9,Good,N/A,Maureen Duffy ,Poetry,Columns ,Y,Border,N,N,N/A,N
,,,10,Good,N/A,Sappho ,Report ,"Colmuns, Divided",Y,Graphic,N,N,N/A,N
,,,11,Good,Amazon,N/A,Anecdote ,"Columns, Box",Y,"Border, Divided ",N,N,N/A,N
,,,12,Good,N/A,Sappho,Report,Columns,Y,"Graphic, Cheque Graphic ",Y- Sappho promotion graphics,N,N/A,N
,,,13,Good,Heteraecetera,N/A,Letters,Columns ,Y,Border,N,Y,Letters to Sappho and replies ,N
,,,14,Good,Aims and Objectives,N/A,Sappho,"Paragragh, Divided",N,N/A,N,Y,Subscription,Meetings for Sappho and advertised group organisations.
,,,15,Good,"Women's Wear Gaily, Mabel and Mildred",Robyn,Essay,Columns,Y,Mabel and Mildred,N,N,N/A,N
,,,16,Good,N/A,N/A,Back page ,Cover,Y,Cover,N,N,N/A,N
,,3,1,Poor,N/A,Murray Marr,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,"Contents, Credits","Paragraph, Divided, Columns",Y,Comic,N,N,N/A,N
,,,3,Good,Our Problems or Theirs,N/A,Essay,Columns,N,N/A,N,N,N/A,N
,,,4,Good,N/A,N/A,Essay,Columns,Y,Advert,Y- Sappho promotion graphics,N,N/A,N
,,,5,Good,Women Priests,Linda Mary Evans,Essay,Columns,N,N/A,N,N,N/A,N
,,,6,Ok,N/A,Linda Mary Evans,Essay,Columns,Y,"Border, Comic",N,N,N/A,N
,,,7,Good,Jew in Society,Simon Benson (re-print),Report ,Columns,N,N/A,N,N,N/A,N
,,,8,Ok,Quaker View of Sex,Friends Home Service Comitee (re-print),Essay,Columns,N,N/A,N,N,N/A,N
,,,9,Ok,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,10,Poor,The Catholic Church,N/A,Essay,Columns,N,N/A,N,N,N/A,N
,,,11,Ok,N/A,Harriette Frances,"Essay, Poem","Columns, Divided",Y,Comic,N,N,N/A,N
,,,12,Good,Amazon,N/A,Anecdote ,"Columns, Box",Y,"Border, Divided ",N,N,N/A,N
,,,13,Ok,Robyn,Robyn,Comedy,"Paragraph, Columns",Y,Graphic,N,N,N/A,N
,,,14,Ok,Concepts of God,Francoise Strachan,Essay,Columns,N,N/A,N,N,N/A,N
,,,15,Good,N/A,Francoise Strachan,Essay,Columns,Y,Divided,Y- Other magazines,N,N/A,N
,,,16,Good,Crossword,N/A,Crossword,Crossword,N,N/A,N,Y,Crossword competition,Competition
,,,17,Ok,N/A,N/A,Crossword,Columns ,Y,Writing ,N,Y,Crossword competition,Competition
,,,18,Ok,Sapphoscope,N/A,Sapphoscope ,"Columns, Divided",Y,"Border, Comic",Y- Sappho promotion graphics,,Sapphoscope,N
,,,19,Ok,N/A,N/A,Sappho,"Paragraph, Divided",Y,Writing ,N,N,Subscription,Meetings for Sappho and advertised group organisations.
,,,20,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,4,1,Poor,N/A,N/A,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,"Contents, Credits","Paragraph, Divided, Columns",Y,Photograph,N,N,N/A,N
,,,3,Good,Short Story,Evelyn Croft,Story,Columns,Y,"Border, Graphic",N,N,N/A,N
,,,4,Good,Robyn,Robyn,Essay,"Columns, Divided",N,N/A,N,N,N/A,N
,,,5,Ok,Women in Media,B.T ,Essay,Columns ,Y,Mabel and Mildred,N,N,N/A,N
,,,6,Ok,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,7,Good,It's No Good Gargling,Celia Haddon (re-print),Essay,Columns,N,N/A,N,N,N/A,N
,,,8,Good,Book Review,N/A,Review,Columns,Y,The Gailies,N,N,N/A,N
,,,9,Good,Friends of the Earth,N/A,Report,Columns,Y,"Title, Borders",Y- Environmental handbook,N,N/A,N
,,,10,Poor,Friends & Female Homos,N/A  ,Essay,Columns,N,N/A,N,N,N/A,N
,,,11,Ok,N/A,N/A  ,Essay,Columns,N,N/A,N,N,N/A,N
,,,12,Ok,Films and Books,Ruth,Review,Columns,Y,Title ,N,N,N/A,N
,,,13,Good,N/A,Steve,Review,Coumns,Y,Title ,N,N,N/A,N
,,,14,Ok,The Spike,N/A,Sappho,Columns,Y,Title,Y- Other magazines,N,N/A,Meetings for Sappho and advertised group organisations.
,,,15,Ok,Amazon,N/A,Anecdote,"Columns, Box",N,N/A,N,N,N/A,N
,,,16,Good,Puzzle Corner ,N/A,Competition winners,"Paragragh, Divided",Y,"Photograph, Crossword",N,Y,Competition,N
,,,17,Good,N/A,N/A,Letters,Columns,Y,Graphic,Y- Poetry book,Y,Letters to Sappho and replies ,N
,,,18,Good,Sapphoscope,N/A,"Sapphoscope, Sappho","Columns, Box",Y,"Title, Writing",N,Y,Sapphoscope,N
,,,19,Good,Aims and Objectives,N/A,Sappho,"Paragragh, Divided",N,N/A,N,Y,Subscription,Meetings for Sappho and advertised group organisations.
,,,20,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,5,1,Poor,N/A,N/A,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,"Contents, Credits","Paragraph, Divided, Columns",Y,Advert ,Y- Event ,N,N/A,Maureen Duffy event 
,,,3,Good,Help,N/A,Sappho,"Columns, Box",N,N/A,N,Y,Reader questions,N
,,,4,Good,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,5,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,6,Good,Happy Families,Virginia Winter,Poetry,Columns,Y,Graphic,N,N,N/A,N
,,,7,Good,N/A,Virginia Winter,Poetry,Columns,N,N/A,N,N,N/A,N
,,,8,Good,Readers Poems,Readers ,Poetry,Random,Y,"Title, Borders",N,Y,Reader contributions ,N
,,,9,Good,Militant Madams,N/A,Essay,Columns,Y,Title,N,N,N/A,N
,,,10,Good,N/A,Sappho,Essay,Columns,N,N/A,N,N,N/A,N
,,,11,Ok,Amazon,N/A,Anecdote,"Columns, Box",N,N/A,N,N,N/A,N
,,,12,Ok,Robyn,Robyn,Essay,Columns,Y,Graphic,N,N,N/A,N
,,,13,Good,Puzzle Corner ,N/A,Puzzles ,Columns ,N,N/A,Y- Bookshop,Y,"Quiz, answers filled in on this PDF",N
,,,14,Good,N/A,N/A,Letters,Columns ,Y,Graphic,N,Y,Letters to Sappho and replies ,N
,,,15,Good,Films & Books,"Ruth, Steve",Reviews,Columns,Y,Title,N,N,N/A,N
,,,16,Good,N/A,N/A,"Reviews, Essay, Anecdote","Columns, Divided",N,N/A,Y- Groups ,N,N/A,N
,,,17,Good,The Spike ,N/A,Sappho,Columns,Y,Title,Y- Other magazines,N,N/A,Groups and address to join
,,,18,Good,"Mabel and Mildred, Sapphoscope",N/A,Sapphoscope ,Columns,Y,Mabel and Mildred,N,Y,Sapphoscope,N
,,,19,Good,Aims and Objectives,N/A,Sappho,"Paragragh, Divided",N,N/A,Y- Meetings and Counselling ,Y,Subscription,Meetings for Sappho
,,,20,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,6,1,Ok,N/A,N/A,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,"Contents, Credits","Paragraph, Divided, Columns",Y,Title,N,N,N/A,N
,,,3,Good,Sapphoscene,N/A,Events,Columns,N,N/A,Y- Events,N,N/A, Groups and address to join
,,,4,Good,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,5,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,6,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,7,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,8,Good,Happy Families,Mac,Article,Columns,Y,Title,N,N,N/A,N
,,,9,Ok,N/A,Mac,Article,Columns,Y,Comic,Y- Bookshop,N,N/A,N
,,,10,Ok,The Making of a Mag,N/A,Sappho,"Columns, Divided",Y,Advert,"Y- Event, Media",N,N/A,"Disco, Media"
,,,11,Ok,N/A,N/A,Collage,Photographs,Y,Photograph,N,N,N/A,N
,,,12,Ok,Rodean,Sappho Sister,Article,Columns,N,N/A,N,N,N/A,N
,,,13,Good,N/A,Sappho Sister,Article,Columns,Y,Graphic,N,N,N/A,N
,,,14,Ok,Everybody's Talking,N/A,Collage,Photographs,Y,Photograph,Y- Speakers Corner,N,N/A,N
,,,15,Ok,Robyn,Robyn ,Article,Columns,N,N/A,N,N,N/A,N
,,,16,Ok,N/A,Sappho Sister ,Article,Columns,Y,Graphic,N,N,N/A,N
,,,17,Ok,N/A,Sappho Sister,Article,Columns,Y,Graphic,N,N,N/A,N
,,,18,Good,Amazon,N/A,Anecdote,"Columns, Box",Y,"Border, Divided ",N,N,N/A,N
,,,19,Good,Puzzle Corner ,N/A,Puzzles ,"Columns, Divided",N,N/A,N,Y,"Crossword, Quiz",N
,,,20,Good,The Spike,N/A,Sappho,Columns,Y,Title,Y- Other magazines,N,N/A,Groups and address to join
,,,21,Good,Rap,Sappho,Essay,Columns,N,N/A,N,Y,Reader contribution ,N
,,,22,Good,Sapphoscope,N/A,"Sapphoscope, Essay","Columns, Divided",Y,Heading,N,Y,Sapphoscope,N
,,,23,Good,Aims and Objectives,N/A,Sappho,"Paragragh, Divided",N,N/A,Y- Meetings and Counselling ,Y,Subscription,Meetings for Sappho
,,,24,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,7,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,Social
,,,3,Good,Sapphoscene,N/A,Article,"Columns, Box",N,N/A,N,N,N/A,N
,,,4,Good,Happy Families,N/A,Article,Columns,Y,Graphic,N,N,N/A,N
,,,5,Good,Heteraecetera,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,,6,Ok,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,7,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,8,Good,N/A,N/A,Letters,Columns,N,N/A,Y- Event ,Y,Letters to Sappho and replies ,Social
,,,9,Good,Rodean,N/A,Article,"Paragraph, Columns",N,N/A,N,N,N/A,N
,,,10,Good,N/A,N/A,Article,Columns,N,N/A,N,N,N/A,N
,,,11,Good,N/A,N/A,Article,Columns,Y,Graphic,N,N,N/A,N
,,,12,Good,Poems,Anne Tibble,Poem,Columns ,Y,Large graphic,N,N,N/A,N
,,,13,Good,N/A,Roz Scott,Poem,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,,14,Ok,Amazon,N/A,Anecdote,"Columns, Box",Y,Divided,N,N,N/A,N
,,,15,Good,N/A,N/A,Anecdote,"Columns, Box",Y,Advert,"Y- Other magazines, Restaurant",N,N/A,N
,,,16,Good,"Women-in-Media, Mildred & Muriel",N/A,Comic,Text boxes,Y,Mildred & Muriel,Y- Groups ,N,N/A,N
,,,17,Good,Viewer's Reviews,Readers ,Review,"Paragraph, Box",N,N/A,N,Y,Reader contributions ,N
,,,18,Good,Films & Books,"Ruth, Steve",Review,Text boxes,N,N/A,N,N,N/A,N
,,,19,Good,"Norway News, Gailies",Sappho,"Article, Comic",Text boxes,Y,The Gailies,N,N,N/A,N
,,,20,Good,Spike,N/A,Sappho,Columns,Y,Advert,Y- Other magazines,N,N/A,Groups and address to join
,,,21,Good,"Puzzle Corner, Mags & Rags",N/A,Puzzles ,"Columns, Box",Y,Title,N,Y,"Crossword, Quiz",Groups and address to join
,,,22,Good,Sapphoscope,N/A,Sapphoscope ,"Columns, Divided",Y,"Border, Divided, Writing",Y- Bookshop,Y,Sapphoscope,N
,,,23,Good,N/A,N/A,Sappho,"Paragragh, Divided",N,N/A,N,Y,Subscription,Meetings for Sappho
,,,24,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,,8,1,Poor,N/A,N/A  ,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,,2,Ok,N/A,N/A,Adverts,Text boxes,Y,Advert,"Y- Restaurant, Bookshop, Other magazines",N,N/A,N
,,,3,Ok,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,,4,Ok,Poem ,Anne Tibble,Poem,Paragraph,N,N/A,N,N,N/A,N
,,,5,Good,Short Story,Delia de Winters,Story,Columns,N,N/A,N,N,N/A,N
,,,6,Ok,Militant Madam,Sappho Sister,Essay,Columns,N,N/A,N,N,N/A,N
,,,7,Ok,N/A,Sappho Sister ,Essay,Columns,N,N/A,N,N,N/A,N
,,,8,Good,N/A,Sappho Sister,Essay,Columns,Y,The Gailies,N,Y,Crossword competition,N
,,,9,Ok,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,10,Ok,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,11,Good,Duffy Disco,N/A,Review,"Columns, Box",Y,Title,N,N,N/A,N
,,,12,Ok,Remarkable Women,jacqui ,Article,Columns,Y,Photograph,N,N,N/A,N
,,,13,Ok,N/A,jacqui ,Article,Columns,Y,Photograph,N,N,N/A,N
,,,14,Ok,N/A,Delia de Winters,Story,Columns,N,N/A,N,N,N/A,N
,,,15,Ok,N/A,Delia de Winters,Story,Columns,N,N/A,N,N,N/A,N
,,,16,Good,Amazon,N/A,Article,"Columns, Box",N,N/A,N,N,N/A,N
,,,17,Ok,Cancer,G.B,Essay,Columns,Y,Title,N,N,N/A,N
,,,18,Good,N/A,G.B,Essay,Columns,N,N/A,N,N,N/A,N
,,,19,Ok,N/A,G.B,Essay,Columns,Y,Diagram,N,N,N/A,N
,,,20,Good,Robyn,Robyn,Anecdote,Columns,Y,Title,N,N,N/A,N
,,,21,Good,Spike,N/A,Sappho,Columns,Y,Title,Y- Meetings ,N,N/A,Meetings for Sappho and advertised group organisations.
,,,22,Good,"Sapphoscope, Obituary",N/A,Sapphoscope ,"Columns, Box",Y,Border,N,Y,Sapphoscope,N
,,,23,Ok,Aims and Objectives,N/A,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,,24,Ok,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,9,1,Poor,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Y- Restaurant, Bookshop, Other magazines",N,N/A,N
,,,3,Ok,N/A,N/A,"Contents, Credits",Text boxes,Y,Graphic,N,N,N/A,N
,,,4,Good,Wonderful Guy,Babs,Article,Columns,Y,Photograph,N,N,N/A,N
,,,5,Ok,N/A,Babs,Article,Columns,N,N/A,N,N,N/A,N
,,,6,Ok,N/A,Babs,Article,Columns,Y,Comic,N,N,N/A,N
,,,7,Poor,Amazon,N/A,Article,"Columns, Box",N,N/A,N,N,N/A,N
,,,8,Ok,Heteraecetera,N/A,Letters,Columns,Y,Graphic,N,Y,Letters to Sappho and replies ,N
,,,9,Ok,N/A,N/A,Letters,Columns ,Y,Border,N,Y,Letters to Sappho and replies ,N
,,,10,Ok,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,,11,Ok,N/A,N/A,Letters,Columns,N,N/A,N,Y,"Letters to Sappho and replies, Short Story Competition",N
,,,12,Good,Unto Us,Sappho,Article,Columns,Y,"Graphic, Border",N,N,N/A,N
,,,13,Good,N/A,Sappho,Article,Columns,Y,"Graphic, Border",N,N,N/A,N
,,,14,Ok,N/A,N/A,Article,Columns,Y,Border,N,N,N/A,N
,,,15,Ok,N/A,N/A,Article,Columns,Y,Border,N,N,N/A,N
,,,16,Ok,Short Story II,Delia de Winters,Story,Columns,N,N/A,N,N,N/A,N
,,,17,Ok,N/A,Delia de Winters,Story,Columns,N,N/A,N,N,N/A,N
,,,18,Ok,N/A,Delia de Winters,Story,Columns,Y,"Comic, Advert",Y-Social,N,N/A,Disco 
,,,19,Ok,Books by Steve,Steve,Review,"Columns, Box",Y,Border,N,N,N/A,N
,,,20,Ok,Robyn ,Robyn,Article,Columns,Y,Border,N,N,N/A,N
,,,21,Good,Spike,N/A,Sappho,Columns,Y,Title,Y- Groups ,N,N/A,Meetings for Sappho and advertised group organisations.
,,,22,Ok,Sapphoscope,N/A,Sapphoscope ,"Columns, Box",Y,"Border, Divided ",N,Y,Sapphoscope,N
,,,23,Ok,Aims and Objectives,N/A,Sappho,"Paragraph, Box",N,N/A,N,Y,Subscription,N
,,,24,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,10,1,Poor,N/A,N/A,Front Cover,Cover,Y,Cover,N,N,N/A,N
,,,2,Ok,N/A,N/A,Adverts,Text boxes,Y,Advert,"Y- Restaurant, Bookshop, Other magazines",N,N/A,N
,,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,Y,Map ,N,N,N/A,N
,,,4,Good,Women's Lips and Hips,Pet Breinburg,Article,Columns,Y,Border,N,N,N/A,N
,,,5,Good,N/A,Pet Breinburg,Article,Columns,Y,Border,N,N,N/A,N
,,,6,Good,Heteraecetera,N/A,Letters,Columns,Y,Graphic,N,Y,Letters to Sappho and replies ,N
,,,7,Ok,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,8,Good,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,9,Good,Amazon,N/A,Anecdote,"Columns, Box",Y,Border,N,N,N/A,N
,,,10,Ok,Poem,alex,Poem,Columns ,N,N/A,N,N,N/A,N
,,,11,Good,Requiem for Doreen,ruth ,Article,Columns,N,N/A,N,N,N/A,N
,,,12,Ok,New Year's Revolutions,N/A,Collage,"Paragraph, Photograph",Y,Photograph,N,N,N/A,N
,,,13,Ok,N/A,N/A,Collage,"Paragraph, Photograph",Y,Photograph,N,N,N/A,N
,,,14,Ok,Robyn ,Robyn,Article,Columns,Y,Border,N,N,N/A,N
,,,15,Good,Mabel & Mildred,N/A,"Letters, Comic",Columns ,Y,Mabel and Mildred,N,Y,Letters to Sappho and replies ,N
,,,16,Good,Quiz ,N/A,Quiz,"Paragraph, Box",N,N/A,N,Y,Quiz,N
,,,17,Ok,Stocking Up,Goldilocks,Article,Columns,N,N/A,N,N,N/A,N
,,,18,Ok,Books by Steve,Steve,Review,Columns,N,N/A,N,N,N/A,N
,,,19,Good,Quiz Answers,N/A,Quiz,"Paragraph, Box",Y,Border,N,Y,Quiz,N
,,,20,Good,N/A,Pet Breinburg,Article,Columns,N,N/A,Y- Other magazines,N,N/A,N
,,,21,Good,Spike,N/A,Sappho,Columns,Y,Title,N,N,N/A,Meetings for Sappho and advertised group organisations.
,,,22,Good,Sapphoscope,N/A,Sapphoscope ,"Columns, Divided",Y,Border,N,Y,Sapphoscope,N
,,,23,Good,N/A,N/A,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,,24,Ok,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,11,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Y- Restaurant, Bookshop, Other magazines",N,N/A,N
,,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,,4,Good,Happy Families,Tina,Article,Columns,Y,Border,N,N,N/A,N
,,,5,Ok,Heteraecetera,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,6,Ok,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,,7,Ok,N/A,N/A,Letters,Columns,Y,Border,N,Y,Letters to Sappho and replies ,N
,,,8,Good,Music on Lesbos,Rodney Slatford,Article,Columns,Y,Graphic,N,N,N/A,Meetings
,,,9,Ok,Short Story  ,Lorna Gulston,Story,Columns,N,N/A,N,N,N/A,N
,,,10,Ok,N/A,Lorna Gulston,Story,Columns,N,N/A,N,N,N/A,N
,,,11,Ok,N/A,Lorna Gulston,Story,Columns,N,N/A,N,N,N/A,N
,,,12,Ok,New Ghettos,Jacqueline Forster,Article,Columns,Y,Photograph,N,N,N/A,N
,,,13,Ok,N/A,Jacqueline Forster,Article,Columns,Y,Photograph,N,N,N/A,N
,,,14,Ok,Robyn ,Robyn,Article,Columns ,Y,Border,N,N,N/A,N
,,,15,Ok,N/A,Jacqueline Forster,Article,Columns,N,N/A,N,N,N/A,N
,,,16,Ok,Book Review,Steve,Review,"Columns, Box",N,N/A,N,N,N/A,N
,,,17,Ok,Stocking Up,Goldilocks,Article,Columns,N,N/A,N,N,N/A,N
,,,18,Good,Crossword,Tina,"Story, Puzzles",Columns,Y,Comic,N,Y,Crossword ,N
,,,19,Good,Amazon,N/A,Article,"Columns, Box",Y,Border,N,N,N/A,N
,,,20,Ok,Sapphoscene,N/A,Sappho,Columns,Y,Advert,Y- Other magazines,N,N/A,N
,,,21,Ok,Spike,N/A,Sappho,Columns,Y,Title,N,N,N/A,Meetings for Sappho and advertised group organisations.
,,,22,Good,Sapphoscope/ Disco,N/A,Sapphoscope ,"Columns, Divided",Y,"Graphic, Border",Y- Event ,Y,Sapphoscope,Social
,,,23,Good,N/A,N/A,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,,24,Good,N/A,N/A,Back page,Cover,Y,Cover,N,N,N/A,N
,,12,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,,2,Good,N/A,N/A,Adverts,Text boxes,Y,Advert,"Y- Restaurant, Bookshop, Other magazines",N,N/A,N
,,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N/A,N,N,N/A,N
,,,4,Good,Sapphoscene,N/A,Sappho,Columns ,N,N/A,N,N,N/A,N
,,,5,Good,Twelve months,N/A,Article,Columns,N,N/A,N,N,N/A,N
,,,6,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Borders",N,Y,Letters to Sappho and replies ,N
,,,7,Ok,N/A,N/A,Letters,Columns,N,N/A,N,Y,Letters to Sappho and replies ,N
,,,8,Good,Winning Short Story,Joan Randall,Story,Columns,Y,Title,N,Y,Reader contributions ,N
,,,9,Ok,N/A,Joan Randall,Story,Columns,N,N/A,N,Y,Reader contributions ,N
,,,10,Good,Discrimination Day,C Crespi,Article,Columns,N,N/A,N,N,N/A,N
,,,11,Ok,Vital Statistics,N/A,Article,Paragraph,N,N/A,N,N,N/A,N
,,,12,Ok,Discrimination Day,N/A,Article,"Paragraph, Box",N,N/A,N,N,N/A,N
,,,13,Ok,Emmeline Pankhurst,Jenny Potter,Photograph,Photographs,Y,Photograph,N,N,N/A,N
,,,14,Good,Madly Gay,jacqui ,Article,"Columns, Box",N,N/A,N,N,N/A,N
,,,15,Good,Mabel & Mildred,Joan Randall,Story,Columns,Y,Mabel and Mildred,N,N,N/A,N
,,,16,Ok,Robyn,Robyn,Article,Columns,Y,Title,N,N,N/A,N
,,,17,Good,About Fags,Aquarian,Story,Columns,N,N/A,N,N,N/A,N
,,,18,Good,Puzzle Corner ,N/A,Puzzles ,Columns,Y,Graphic,N,Y,Crossword ,N
,,,19,Good,Amazon,N/A,Article,"Columns, Box",Y,Border,N,N,N/A,N
,,,20,Good,N/A,N/A,Article,Columns,Y,"Advert, Writing",Y- Other magazines,N,N/A,N
,,,21,Ok,Spike,N/A,Sappho,Columns,Y,Title,N,N,N/A,Meetings for Sappho and advertised group organisations.
,,,22,Good,Sapphoscope,N/A,Sapphoscope ,"Paragraph, Box",Y,Border,N,Y,S,N
,,,23,Ok,N/A,N/A,Sappho,Text boxes,N,N/A,N,Y,Subscription,N
,,,24,Ok,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N